week,team,opponent,home_away
8,TB,NO,@
8,DEN,DAL,vs
8,DAL,DEN,@
8,IND,TEN,vs
8,TEN,IND,@
8,PIT,GB,vs
8,GB,PIT,@
8,KC,WAS,vs
8,WAS,KC,@
9,MIA,BAL,vs
9,BAL,MIA,@
9,CIN,CHI,vs
9,CHI,CIN,@
9,DET,MIN,vs
9,MIN,DET,@
9,GB,CAR,vs
9,CAR,GB,@
9,HOU,DEN,vs
9,DEN,HOU,@
9,NE,ATL,vs
9,ATL,NE,@
9,NYG,SF,vs
9,SF,NYG,@
9,PIT,IND,vs
9,IND,PIT,@
9,TEN,LAC,vs
9,LAC,TEN,@
9,LA,NO,vs
9,NO,LA,@
9,LV,JAX,vs
9,JAX,LV,@
9,BUF,KC,vs
9,KC,BUF,@
9,WAS,SEA,vs
9,SEA,WAS,@
9,DAL,ARI,vs
9,ARI,DAL,@
10,DEN,LV,vs
10,LV,DEN,@
10,IND,ATL,vs
10,ATL,IND,@
10,CAR,NO,vs
10,NO,CAR,@
10,CHI,NYG,vs
10,NYG,CHI,@
10,HOU,JAX,vs
10,JAX,HOU,@
10,MIA,BUF,vs
10,BUF,MIA,@
10,MIN,BAL,vs
10,BAL,MIN,@
10,NYJ,CLE,vs
10,CLE,NYJ,@
10,TB,NE,vs
10,NE,TB,@
10,SEA,ARI,vs
10,ARI,SEA,@
10,SF,LA,vs
10,LA,SF,@
10,WAS,DET,vs
10,DET,WAS,@
10,LAC,PIT,vs
10,PIT,LAC,@
10,GB,PHI,vs
10,PHI,GB,@
11,NE,NYJ,vs
11,NYJ,NE,@
11,MIA,WAS,vs
11,WAS,MIA,@
11,ATL,CAR,vs
11,CAR,ATL,@
11,BUF,TB,vs
11,TB,BUF,@
11,JAX,LAC,vs
11,LAC,JAX,@
11,MIN,CHI,vs
11,CHI,MIN,@
11,NYG,GB,vs
11,GB,NYG,@
11,PIT,CIN,vs
11,CIN,PIT,@
11,TEN,HOU,vs
11,HOU,TEN,@
11,ARI,SF,vs
11,SF,ARI,@
11,LA,SEA,vs
11,SEA,LA,@
11,CLE,BAL,vs
11,BAL,CLE,@
11,DEN,KC,vs
11,KC,DEN,@
11,PHI,DET,vs
11,DET,PHI,@
11,LV,DAL,vs
11,DAL,LV,@
12,HOU,BUF,vs
12,BUF,HOU,@
12,BAL,NYJ,vs
12,NYJ,BAL,@
12,CHI,PIT,vs
12,PIT,CHI,@
12,CIN,NE,vs
12,NE,CIN,@
12,DET,NYG,vs
12,NYG,DET,@
12,GB,MIN,vs
12,MIN,GB,@
12,KC,IND,vs
12,IND,KC,@
12,TEN,SEA,vs
12,SEA,TEN,@
12,ARI,JAX,vs
12,JAX,ARI,@
12,LV,CLE,vs
12,CLE,LV,@
12,DAL,PHI,vs
12,PHI,DAL,@
12,NO,ATL,vs
12,ATL,NO,@
12,LA,TB,vs
12,TB,LA,@
12,SF,CAR,vs
12,CAR,SF,@
13,DET,GB,vs
13,GB,DET,@
13,DAL,KC,vs
13,KC,DAL,@
13,BAL,CIN,vs
13,CIN,BAL,@
13,PHI,CHI,vs
13,CHI,PHI,@
13,CAR,LA,vs
13,LA,CAR,@
13,CLE,SF,vs
13,SF,CLE,@
13,IND,HOU,vs
13,HOU,IND,@
13,MIA,NO,vs
13,NO,MIA,@
13,NYJ,ATL,vs
13,ATL,NYJ,@
13,TB,ARI,vs
13,ARI,TB,@
13,TEN,JAX,vs
13,JAX,TEN,@
13,SEA,MIN,vs
13,MIN,SEA,@
13,LAC,LV,vs
13,LV,LAC,@
13,PIT,BUF,vs
13,BUF,PIT,@
13,WAS,DEN,vs
13,DEN,WAS,@
13,NE,NYG,vs
13,NYG,NE,@
14,DET,DAL,vs
14,DAL,DET,@
14,ATL,SEA,vs
14,SEA,ATL,@
14,BAL,PIT,vs
14,PIT,BAL,@
14,BUF,CIN,vs
14,CIN,BUF,@
14,CLE,TEN,vs
14,TEN,CLE,@
14,JAX,IND,vs
14,IND,JAX,@
14,MIN,WAS,vs
14,WAS,MIN,@
14,NYJ,MIA,vs
14,MIA,NYJ,@
14,TB,NO,vs
14,NO,TB,@
14,LV,DEN,vs
14,DEN,LV,@
14,ARI,LA,vs
14,LA,ARI,@
14,GB,CHI,vs
14,CHI,GB,@
14,KC,HOU,vs
14,HOU,KC,@
14,LAC,PHI,vs
14,PHI,LAC,@
15,TB,ATL,vs
15,ATL,TB,@
15,CHI,CLE,vs
15,CLE,CHI,@
15,CIN,BAL,vs
15,BAL,CIN,@
15,HOU,ARI,vs
15,ARI,HOU,@
15,JAX,NYJ,vs
15,NYJ,JAX,@
15,KC,LAC,vs
15,LAC,KC,@
15,NE,BUF,vs
15,BUF,NE,@
15,NYG,WAS,vs
15,WAS,NYG,@
15,PHI,LV,vs
15,LV,PHI,@
15,DEN,GB,vs
15,GB,DEN,@
15,LA,DET,vs
15,DET,LA,@
15,NO,CAR,vs
15,CAR,NO,@
15,SEA,IND,vs
15,IND,SEA,@
15,SF,TEN,vs
15,TEN,SF,@
15,DAL,MIN,vs
15,MIN,DAL,@
15,PIT,MIA,vs
15,MIA,PIT,@
16,SEA,LA,vs
16,LA,SEA,@
16,WAS,PHI,vs
16,PHI,WAS,@
16,CHI,GB,vs
16,GB,CHI,@
16,CAR,TB,vs
16,TB,CAR,@
16,CLE,BUF,vs
16,BUF,CLE,@
16,DAL,LAC,vs
16,LAC,DAL,@
16,MIA,CIN,vs
16,CIN,MIA,@
16,NO,NYJ,vs
16,NYJ,NO,@
16,NYG,MIN,vs
16,MIN,NYG,@
16,TEN,KC,vs
16,KC,TEN,@
16,ARI,ATL,vs
16,ATL,ARI,@
16,DEN,JAX,vs
16,JAX,DEN,@
16,DET,PIT,vs
16,PIT,DET,@
16,HOU,LV,vs
16,LV,HOU,@
16,BAL,NE,vs
16,NE,BAL,@
16,IND,SF,vs
16,SF,IND,@
17,WAS,DAL,vs
17,DAL,WAS,@
17,MIN,DET,vs
17,DET,MIN,@
17,KC,DEN,vs
17,DEN,KC,@
17,LAC,HOU,vs
17,HOU,LAC,@
17,GB,BAL,vs
17,BAL,GB,@
17,CAR,SEA,vs
17,SEA,CAR,@
17,CIN,ARI,vs
17,ARI,CIN,@
17,CLE,PIT,vs
17,PIT,CLE,@
17,IND,JAX,vs
17,JAX,IND,@
17,MIA,TB,vs
17,TB,MIA,@
17,NYJ,NE,vs
17,NE,NYJ,@
17,TEN,NO,vs
17,NO,TEN,@
17,LV,NYG,vs
17,NYG,LV,@
17,BUF,PHI,vs
17,PHI,BUF,@
17,SF,CHI,vs
17,CHI,SF,@
17,ATL,LA,vs
17,LA,ATL,@
18,TB,CAR,vs
18,CAR,TB,@
18,SF,SEA,vs
18,SEA,SF,@
18,ATL,NO,vs
18,NO,ATL,@
18,CIN,CLE,vs
18,CLE,CIN,@
18,HOU,IND,vs
18,IND,HOU,@
18,JAX,TEN,vs
18,TEN,JAX,@
18,MIN,GB,vs
18,GB,MIN,@
18,NYG,DAL,vs
18,DAL,NYG,@
18,BUF,NYJ,vs
18,NYJ,BUF,@
18,CHI,DET,vs
18,DET,CHI,@
18,DEN,LAC,vs
18,LAC,DEN,@
18,LA,ARI,vs
18,ARI,LA,@
18,LV,KC,vs
18,KC,LV,@
18,NE,MIA,vs
18,MIA,NE,@
18,PHI,WAS,vs
18,WAS,PHI,@
18,PIT,BAL,vs
18,BAL,PIT,@
19,CAR,LA,vs
19,LA,CAR,@
19,CHI,GB,vs
19,GB,CHI,@
19,JAX,BUF,vs
19,BUF,JAX,@
19,PHI,SF,vs
19,SF,PHI,@
19,NE,LAC,vs
19,LAC,NE,@
19,PIT,HOU,vs
19,HOU,PIT,@
20,DEN,BUF,vs
20,BUF,DEN,@
20,SEA,SF,vs
20,SF,SEA,@
20,NE,HOU,vs
20,HOU,NE,@
20,CHI,LA,vs
20,LA,CHI,@
21,DEN,NE,vs
21,NE,DEN,@
21,SEA,LA,vs
21,LA,SEA,@
22,NE,SEA,vs
22,SEA,NE,@
