Position,Overall,Player,Team (Bye),Avg Pick,High,Low,Std Dev,% Drafted
RB28,85,Jaylen Warren,PIT (9),8.01,7.04,9.04,6.37,1
RB29,86,Tony Pollard,TEN (9),8.04,7.05,9.06,8.16,1
RB30,87,RJ Harvey,DEN (10),8.04,7.02,9.06,7.94,1
WR30,88,Carnell Tate,TEN (9),8.05,7.1,9.08,6.92,1
RB31,89,Rhamondre Stevenson,NE (11),8.06,7.06,9.02,6.85,1
RB32,90,Rico Dowdle,PIT (9),8.1,8.01,9.09,6.37,1
WR31,91,Brian Thomas Jr.,JAC (7),8.11,8.01,10.04,9.65,1
WR32,92,Marvin Harrison Jr.,ARI (14),8.11,8.02,9.07,5.58,1
RB33,93,Kyle Monangai,CHI (10),9.01,8.04,10,6.35,1
WR33,94,Alec Pierce,IND (13),9.01,7.08,9.1,8.92,1
RB34,95,J.K. Dobbins,DEN (10),9.03,8.01,10.04,8.89,1
WR34,96,Jordyn Tyson,NO (8),9.04,8.04,10.05,8.14,1
RB35,97,Blake Corum,LAR (11),9.05,8.07,10.03,6.71,1
RB36,98,Aaron Jones Sr.,MIN (6),9.05,7.09,10.08,9.89,1
QB24,99,Cam Ward,TEN (9),9.06,7,15.08,32.91,1
WR35,100,DK Metcalf,PIT (9),9.07,7,11.06,14.23,1
WR36,101,Courtland Sutton,DEN (10),9.08,7.03,11.02,12.67,1
WR37,102,Parker Washington,JAC (7),9.08,8.11,10.03,4.64,1
RB37,103,Kenneth Gainwell,TB (10),9.08,8.08,10.05,6.29,1
WR38,104,Michael Wilson,ARI (14),9.09,7.06,11.01,10.47,1
RB38,105,Rachaad White,WAS (7),9.1,8.11,11,7.94,1
WR39,106,Makai Lemon,PHI (10),9.11,8.07,10.08,8.97,1
RB39,107,Jordan Mason,MIN (6),10,9.01,10.1,7.26,1
RB40,108,Jacory Croskey-Merritt,WAS (7),10,8.1,10.11,8.27,1
RB41,109,Jonathon Brooks,CAR (5),10.01,9,10.11,7.7,1
WR40,110,Chris Godwin Jr.,TB (10),10.04,7.05,11.1,13.83,1
RB42,111,Woody Marks,HOU (8),10.07,9.02,11.04,9.09,1
RB43,112,Tyler Allgeier,ARI (14),10.07,9.04,11.09,8.53,1
RB44,113,Tyrone Tracy Jr.,NYG (8),10.07,9.09,11.05,7.09,1
RB45,114,Chris Rodriguez Jr.,JAC (7),10.07,9.05,11.05,6.71,1
RB46,115,Zach Charbonnet,SEA (11),10.08,9,12.03,14.8,1
TE6,116,Harold Fannin Jr.,CLE (11),10.09,8.08,12.1,22.41,1
WR41,117,Jakobi Meyers,JAC (7),10.1,7.01,12.09,17.7,1
WR42,118,Jayden Reed,GB (11),11,10.03,11.09,6.12,1
QB25,119,Daniel Jones,IND (13),11.03,7.1,14.01,27.43,1
TE7,120,Kyle Pitts Sr.,ATL (11),11.03,8.01,13.1,25.71,1
WR43,121,Jordan Addison,MIN (6),11.03,10.06,13.05,10.02,1
RB47,122,Isiah Pacheco,DET (6),11.04,10.05,12.04,7.17,1
RB48,123,Tyjae Spears,TEN (9),11.07,10.04,12.09,10.26,1
RB49,124,Dylan Sampson,CLE (11),11.07,10.04,13.02,11.06,1
QB26,125,Bryce Young,CAR (5),11.07,8.07,13.08,22.73,1
RB50,126,Jonah Coleman,DEN (10),11.07,10.06,13.03,9.29,1
WR44,127,Michael Pittman Jr.,PIT (9),11.07,10.05,13.01,8.34,1
RB51,128,Keaton Mitchell,LAC (7),11.08,9.11,13.05,10.03,1
TE8,129,Sam LaPorta,DET (6),11.09,7.08,13.04,23.79,1
